si3,si4,si5,true_class,predicted_class
-1.6841276989021638,-1.17537350617496,-1.5110284686915954,1,1
-1.3801274705810929,1.4016292144255154,-0.7135404616201858,1,1
-1.2892337200138768,-1.2214328615267178,0.017518345806095546,2,2
1.2494767338826451,-0.08975360329413003,-0.4865811259570884,2,2
-1.9377017689726852,0.22175568398369025,1.1134120308615016,2,2
-0.10147374081481902,0.8432096695202106,0.05512650031866833,2,3
-1.284133118237657,0.3307383298679785,0.9370640493784302,3,3
-1.274888181003693,-0.5002226888719692,0.7836291530690419,3,3
0.020361035331938622,1.6001786385830439,-1.0852422742609382,2,2
1.2494767338826451,-0.4549592393021386,1.6885964022277227,2,2
1.2494767338826451,-0.9578183984660525,0.19137991914211308,2,2
-0.436310952013442,-0.555190561608633,0.9071064059146272,4,4
0.8135405149526008,0.2207426533931246,-0.7950444440528589,2,2
-0.436310952013442,-0.9917520595349101,-0.20846882810289136,2,2
1.238982512108275,1.104374172559933,-0.2889046877258111,1,1
-0.3651301084926484,1.0229023578140921,1.2242400595892593,3,3
0.33350640482588156,0.526448587520559,-1.6906858355870078,2,2
1.2494767338826451,-0.12003811501875859,0.17091177550037984,3,2
1.2494767338826451,1.5565691052418626,-0.8880667718052302,1,1
0.5309918070672347,1.4854595573246858,1.0230734351487494,2,2
1.1908088107956112,1.659729990843172,-0.17806315454485885,1,1
0.46449172696119867,-0.5701101722476606,-0.5079186386327309,2,2
0.9216899117196119,0.4916741155468687,1.1928393461446454,2,2
1.2494767338826451,1.631544582285991,-1.585460407299999,1,1
1.2051709503111219,-0.7604214643741439,0.5991648363399382,3,3
-0.08962677088544767,0.6958283649429916,-0.44241505009717064,2,2
1.2308397712163563,-1.1731133966640332,1.4875749903780382,1,1
-0.3533265701179111,1.3453080982942847,1.336804443246036,2,2
1.2485536685748233,-0.4834415081570351,0.34306018979168884,3,3
0.46449172696119867,0.8914467249429726,-1.008199209908328,2,2
0.46449172696119867,1.3751673655780317,0.42415061820475936,2,2
0.339377964954138,0.037769958982032,0.028600735601479552,2,2
-1.273703175164145,-0.03961417848095105,-1.0256936729565524,2,2
-1.286395805719524,1.1431128025387245,0.18285320739487676,2,2
0.16444859584011617,-1.0342353075287554,1.1602075031964196,3,3
-0.436310952013442,0.21198392900944277,0.31681341118991396,3,3
-1.289941943898109,-1.2226884798384876,-0.7311186522782184,2,2
0.46511598317313835,1.1192218452955742,0.5127730362303247,2,2
1.2128494561412855,0.22488306788717016,0.17542401050258305,2,2
-1.2777287977058898,0.8726322892565682,1.2218972752738302,2,2
0.4889695581238025,0.03476833702476027,-1.5745337159061557,2,2
